"jurisdicción";"año";"total";"enero";"febrero";"marzo";"abril";"mayo";"junio";"julio";"agosto";"septiembre";"octubre";"noviembre";"diciembre"
"Buenos Aires";"2015";"8267";"787";"543";"913";"836";"455";"758";"824";"463";"1062";"441";"513";"672"
"Catamarca";"2015";"722";"6";"4";"3";"5";"18";"24";"46";"83";"173";"274";"44";"42"
"Chaco";"2015";"10698";"140";"169";"574";"178";"105";"402";"1211";"1833";"3996";"1519";"261";"310"
"Chubut";"2015";"6293";"169";"3963";"1870";"24";"11";"13";"9";"17";"10";"64";"127";"16"
"CABA";"2015";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0"
"Corrientes";"2015";"13002";"71";"385";"683";"1852";"702";"743";"1943";"2638";"3362";"508";"62";"53"
"Córdoba";"2015";"2532";"66";"37";"61";"129";"68";"198";"336";"701";"382";"285";"125";"144"
"Entre Ríos";"2015";"4495";"43";"132";"204";"581";"278";"604";"1269";"290";"624";"265";"111";"94"
"Formosa";"2015";"16862";"247";"360";"1654";"130";"44";"138";"550";"2024";"8235";"3148";"284";"48"
"Jujuy";"2015";"1228";"15";"9";"5";"4";"11";"85";"137";"183";"376";"242";"60";"101"
"La Pampa";"2015";"5846";"4088";"158";"153";"60";"32";"98";"201";"344";"447";"89";"81";"95"
"La Rioja";"2015";"649";"19";"5";"6";"10";"17";"75";"36";"119";"128";"179";"21";"34"
"Mendoza";"2015";"2819";"292";"103";"85";"60";"147";"315";"358";"538";"614";"127";"77";"103"
"Misiones";"2015";"3447";"86";"172";"502";"259";"142";"360";"102";"1122";"473";"153";"30";"46"
"Neuquén";"2015";"2570";"561";"186";"559";"287";"152";"130";"115";"141";"125";"74";"130";"110"
"Río Negro";"2015";"4896";"1331";"122";"82";"33";"45";"116";"273";"379";"647";"208";"258";"1402"
"Salta";"2015";"10152";"323";"91";"55";"220";"53";"151";"364";"1788";"3212";"2789";"662";"444"
"San Juan";"2015";"880";"20";"20";"12";"16";"52";"76";"125";"206";"219";"63";"26";"45"
"San Luis";"2015";"1460";"71";"130";"46";"13";"42";"123";"220";"277";"323";"121";"50";"44"
"Santa Cruz";"2015";"369";"61";"18";"41";"14";"20";"24";"12";"11";"50";"28";"32";"58"
"Santa Fe";"2015";"26325";"199";"274";"622";"2285";"1405";"2550";"7583";"4430";"4403";"1643";"638";"293"
"Stgo. del Estero";"2015";"15085";"184";"189";"298";"374";"195";"602";"2775";"3853";"3412";"2356";"495";"352"
"T. del Fuego";"2015";"119";"8";"7";"6";"17";"11";"9";"15";"1";"11";"11";"5";"18"
"Tucumán";"2015";"2265";"15";"0";"1";"5";"14";"94";"436";"421";"798";"380";"72";"29"
"Buenos Aires";"2016";"9029";"410";"522";"584";"242";"162";"421";"300";"1440";"900";"345";"502";"3201"
"Catamarca";"2016";"1391";"10";"7";"9";"12";"8";"21";"69";"156";"417";"150";"486";"46"
"Chaco";"2016";"13931";"765";"164";"123";"87";"140";"731";"1539";"5715";"3833";"376";"375";"83"
"Chubut";"2016";"2435";"280";"269";"1188";"18";"9";"12";"6";"15";"29";"5";"10";"594"
"CABA";"2016";"6";"0";"0";"3";"0";"1";"0";"1";"1";"0";"0";"0";"0"
"Corrientes";"2016";"14585";"272";"201";"493";"160";"194";"1156";"1917";"6095";"3147";"525";"238";"187"
"Córdoba";"2016";"2053";"109";"57";"44";"25";"24";"80";"152";"279";"363";"227";"497";"196"
"Entre Ríos";"2016";"2363";"187";"127";"143";"13";"63";"216";"123";"632";"443";"199";"91";"126"
"Formosa";"2016";"23113";"453";"44";"62";"209";"168";"663";"2488";"7566";"9558";"1165";"602";"135"
"Jujuy";"2016";" ";"9";"10";"20";"11";"24";"67";"96";"213";"227";"242";"127";"77"
"La Pampa";"2016";"9151";"810";"23";"202";"25";"5";"39";"44";"622";"473";"43";"29";"6836"
"La Rioja";"2016";"1429";"11";"1";"26";"22";"15";"65";"195";"612";"112";"119";"193";"58"
"Mendoza";"2016";"3471";"40";"59";"65";"43";"9";"126";"351";"680";"844";"160";"287";"807"
"Misiones";"2016";"5632";"230";"46";"207";"223";"93";"374";"939";"1698";"1141";"217";"294";"170"
"Neuquén";"2016";"2980";"191";"1192";"173";"160";"51";"93";"70";"135";"179";"156";"237";"343"
"Río Negro";"2016";"15997";"280";"162";"250";"233";"4";"38";"72";"346";"265";"36";"180";"14131"
"Salta";"2016";"12656";"414";"61";"58";"103";"120";"149";"593";"2970";"5194";"1115";"1491";"388"
"San Juan";"2016";"1059";"61";"36";"18";"12";"11";"29";"91";"388";"272";"38";"87";"16"
